Title,Genre,Release date,No. of seasons,No. of episodes,Status,Last aired,Duration,Original language,Rating,Actor
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Billy Bob,Thornton
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Martin,Freeman
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Patrick,Wilson
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Kirsten,Dunst
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Jesse,Plemons
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Jean,Smart
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Ewan,McGregor
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Mary Elizabeth,Winstead
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Carrie,Coon
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,David,Thewlis
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Chris,Rock
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Jason,Schwartzman
The Terror,{Drama Horror Psychological thriller},Mar 25 2018,2,20,Finished,2019,40-56 minutes,English,7.9,Jared,Harris
The Terror,{Drama Horror Psychological thriller},Mar 25 2018,2,20,Finished,2019,40-56 minutes,English,7.9,Tobias,Menzies
The Terror,{Drama Horror Psychological thriller},Mar 25 2018,2,20,Finished,2019,40-56 minutes,English,7.9,Ciaran,Hinds
The Alienist,{Period drama Murder mystery Psychological thriller},Jan 21 2018,2,18,Finished,2020,43-55 minutes,English,7.7,Daniel,Brühl
The Alienist,{Period drama Murder mystery Psychological thriller},Jan 21 2018,2,18,Finished,2020,43-55 minutes,English,7.7,Luke,Evans
The Alienist,{Period drama Murder mystery Psychological thriller},Jan 21 2018,2,18,Finished,2020,43-55 minutes,English,7.7,Dakota,Fanning
The Alienist,{Period drama Murder mystery Psychological thriller},Jan 21 2018,2,18,Finished,2020,43-55 minutes,English,7.7,Ted,Levine
